全国卫视IPV6,#genre#

香港卫视, http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
三沙卫视, http://ynmz.es521.cn:5000/?id=012523
山东教育卫视, http://ynmz.es521.cn:5000/?id=012443
甘肃卫视, http://ynmz.es521.cn:5000/?id=012186
新疆卫视, http://ynmz.es521.cn:5000/?id=012185
西藏卫视, http://ynmz.es521.cn:5000/?id=012184
宁夏卫视, http://ynmz.es521.cn:5000/?id=012183
海南卫视高清, http://ynmz.es521.cn:5000/?id=012548
上海卫视 高清,http://1.69.115.224:9902/tsfile/live/0108_1.m3u8
青海卫视, http://ynmz.es521.cn:5000/?id=012181
内蒙古卫视, http://ynmz.es521.cn:5000/?id=012180
山西卫视, http://ynmz.es521.cn:5000/?id=012179
陕西卫视, http://ynmz.es521.cn:5000/?id=012178
广西卫视, http://ynmz.es521.cn:5000/?id=012176
河北卫视, http://ynmz.es521.cn:5000/?id=012174
重庆卫视, http://ynmz.es521.cn:5000/?id=012172
四川卫视高清, http://ynmz.es521.cn:5000/?id=012524
河南卫视高清, http://ynmz.es521.cn:5000/?id=012547
江西卫视高清, http://ynmz.es521.cn:5000/?id=012445
东南卫视高清, http://ynmz.es521.cn:5000/?id=012432
广东卫视高清, http://ynmz.es521.cn:5000/?id=012382
辽宁卫视高清, http://ynmz.es521.cn:5000/?id=012337
山东卫视高清, http://ynmz.es521.cn:5000/?id=012338
黑龙江卫视高清, http://ynmz.es521.cn:5000/?id=012189
贵州卫视高清, http://ynmz.es521.cn:5000/?id=012503
吉林卫视高清, http://ynmz.es521.cn:5000/?id=012509
湖北卫视高清, http://ynmz.es521.cn:5000/?id=012191
安徽卫视高清, http://ynmz.es521.cn:5000/?id=012279
天津卫视高清, http://ynmz.es521.cn:5000/?id=012192
深圳卫视高清, http://ynmz.es521.cn:5000/?id=012190
北京卫视高清, http://ynmz.es521.cn:5000/?id=012124
江苏卫视高清, http://ynmz.es521.cn:5000/?id=012126
东方卫视高清, http://ynmz.es521.cn:5000/?id=012127
浙江卫视高清, http://ynmz.es521.cn:5000/?id=012304
湖南卫视高清, http://ynmz.es521.cn:5000/?id=012125
星空卫视, http://ynmz.es521.cn:5000/?id=012291
云南卫视高清, http://ynmz.es521.cn:5000/?id=012349
兵团卫视, http://14.204.74.164:9000/TV/0/00000001000000050000000000000062/113.m3u8

央视CCTV,#genre#
CCTV1 HD, http://144.255.21.21:8123/udp/239.21.1.120:5002
CCTV2 HD, http://144.255.21.21:8123/udp/239.21.1.151:5002
CCTV3 HD, http://144.255.21.21:8123/udp/239.21.2.45:5002
CCTV4 HD, http://144.255.21.21:8123/udp/239.21.1.154:5002
CCTV5 HD, http://144.255.21.21:8123/udp/239.21.2.46:5002
CCTV5+ HD, http://144.255.21.21:8123/udp/239.21.1.142:5002
CCTV6 HD, http://144.255.21.21:8123/udp/239.21.2.47:5002
CCTV7 HD, http://144.255.21.21:8123/udp/239.21.1.152:5002
CCTV8 HD, http://144.255.21.21:8123/udp/239.21.2.48:5002
CCTV9 HD, http://144.255.21.21:8123/udp/239.21.1.153:5002
CCTV10 HD, http://144.255.21.21:8123/udp/239.21.1.155:5002
CCTV11 HD, http://144.255.21.21:8123/udp/239.21.2.2:5002
CCTV12 HD, http://144.255.21.21:8123/udp/239.21.1.156:5002
CCTV13 HD, http://144.255.21.21:8123/udp/239.21.2.3:5002
CCTV14 HD, http://144.255.21.21:8123/udp/239.21.1.157:5002
CCTV15 HD, http://144.255.21.21:8123/udp/239.21.2.4:5002
CCTV16 HD, http://144.255.21.21:8123/udp/239.21.2.51:5002
CCTV17 HD, http://144.255.21.21:8123/udp/239.21.1.186:5002

电影频道,#genre#
CHC高清电影, http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC动作电影, http://115.60.241.249:2000/rtp/225.1.4.208:1261
CHC家庭影院, http://123.187.46.90:65000/hls/30/index.m3u8
HBO HD, https://s.vdo.ai/vhs/1.m3u8
HBO HD, https://epg.pw/stream/1dca6fe7bd392fd38664679fee2bdd491ad508122325da8c45c090f4591b5924.m3u8
HBO HD, http://50.7.238.114:8278/hbohd_twn/playlist.m3u8?tid=m8d785f4e022616401837&ct=17877&tsum=56e767abfc65234db52b017576b00403
HBO HD, http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=ME7E8473082984730829&ct=18392&tsum=acad12b7c208bda39b68dec98349e138
HBO HD, http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=MBBB7425808074258080&ct=19193&tsum=a0bdd395bfc4cf07d9414d5372f59ad2
HBO Plus, http://170.254.18.106/HBO_PLUS/index.m3u8
HBO 3 HD, http://51.254.199.122:8080/bossbrothersTV/index.m3u8
HBO原创, http://198.16.100.90:8278/hbosignature_twn/playlist.m3u8?tid=MD6D5767423357674233&ct=18392&tsum=995709f1100cf1b07964790160bfb4ee
HBO原创, http://198.16.100.90:8278/hbosignature_twn/playlist.m3u8?tid=m48ee99a5dacb15948906&ct=17874&tsum=3d127801d49fa098b4118400117b4fbb
HBO FAMILY, https://futuretoday-afv-family-2-be.samsung.wurl.tv/playlist.m3u8
HBO (Asia), http://218.202.220.2:5000/nn_live.ts?id=HBO&checkedby:iptvcat.com
HBO Xtreme, http://170.254.18.106/HBO_XTREME/index.m3u8
HBO 家庭, http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=18186902&ct=17988&&tsum=7a21abab0a5912afb0ebc01db111e59f
HBO Family, http://170.254.18.106/HBO_FAMILY/index.m3u8
HBO PREMIUM, https://s.vdo.ai/vhs/1.m3u8
HBO PREMIUM, http://62.210.209.138:41000/movie/v52/v43/6870.mp4
HBO Plus SD, https://srv3.zcast.com.br/wellington7720/wellington7720/playlist.m3u8
HBO Xtreme SD, http://livestreamcdn.net:1935/ExtremaTV/ExtremaTV/playlist.m3u8
HBO Signature, http://170.254.18.106/HBO_SIG/index.m3u8
HBO Latino SD, http://tvpremiumhd.club/lista-gratuita/221424/tv/iptv.php?id=dwstream3-lh.akamaihd.net/i/dwstream3_live@124409/master&checkedby:iptvcat.com
HBO 2 DIRECTV, https://59e8e1c60a2b2.streamlock.net/509/509.stream/playlist.m3u8
电影, http://pull.kktv8.com/livekktv/99350550.flv
电影_56, http://epg.112114.xyz/douyu/4246519
壹電影, http://111.243.127.138:4022/udp/230.1.2.19:11111
淘电影HD, http://114.254.98.22:4022/rtp/239.3.1.250:8001
淘电影HD, http://125.34.18.213:7777/rtp/239.3.1.250:8001
淘电影HD, http://123.112.50.33:8888/rtp/239.3.1.250:8001
淘电影HD, http://123.115.195.226:8888/rtp/239.3.1.250:8001
淘电影HD, http://123.112.246.1:5555/rtp/239.3.1.250:8001
东森电影, http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
星卫电影, http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
